FECHA,N1,N2,N3,N4,N5,Star1,Star2
10/08/2018,18.0,20.0,36.0,43.0,44.0,3.0,9.0
7/08/2018,16.0,28.0,29.0,30.0,36.0,8.0,10.0
3/08/2018,7.0,26.0,36.0,38.0,43.0,6.0,12.0
31/07/2018,20.0,25.0,34.0,42.0,45.0,6.0,11.0
27/07/2018,11.0,17.0,22.0,23.0,41.0,6.0,11.0
24/07/2018,2.0,4.0,23.0,39.0,40.0,3.0,9.0
20/07/2018,2.0,15.0,40.0,43.0,46.0,3.0,6.0
17/07/2018,4.0,6.0,27.0,48.0,50.0,1.0,11.0
13/07/2018,1.0,4.0,14.0,21.0,49.0,2.0,12.0
10/07/2018,3.0,8.0,26.0,33.0,45.0,7.0,10.0
6/07/2018,8.0,30.0,33.0,38.0,48.0,2.0,10.0
3/07/2018,1.0,12.0,15.0,29.0,48.0,3.0,5.0
29/06/2018,15.0,21.0,23.0,40.0,48.0,3.0,12.0
26/06/2018,15.0,16.0,20.0,34.0,50.0,4.0,7.0
22/06/2018,14.0,25.0,39.0,41.0,44.0,2.0,8.0
19/06/2018,7.0,19.0,26.0,42.0,50.0,4.0,9.0
15/06/2018,23.0,26.0,33.0,38.0,49.0,1.0,12.0
12/06/2018,7.0,21.0,23.0,36.0,38.0,6.0,8.0
8/06/2018,8.0,19.0,32.0,43.0,46.0,2.0,8.0
5/06/2018,9.0,15.0,22.0,39.0,46.0,4.0,5.0
1/06/2018,17.0,18.0,24.0,29.0,40.0,4.0,5.0
29/05/2018,6.0,11.0,20.0,38.0,43.0,2.0,4.0
25/05/2018,13.0,15.0,16.0,28.0,41.0,4.0,5.0
22/05/2018,1.0,11.0,37.0,41.0,48.0,8.0,12.0
18/05/2018,5.0,8.0,10.0,13.0,31.0,3.0,6.0
15/05/2018,4.0,16.0,20.0,31.0,39.0,2.0,12.0
11/05/2018,3.0,22.0,34.0,49.0,50.0,8.0,11.0
8/05/2018,17.0,25.0,35.0,39.0,44.0,2.0,5.0
4/05/2018,6.0,12.0,23.0,39.0,45.0,9.0,12.0
1/05/2018,6.0,15.0,17.0,42.0,48.0,4.0,6.0
27/04/2018,12.0,24.0,40.0,41.0,46.0,5.0,12.0
24/04/2018,20.0,23.0,28.0,30.0,44.0,3.0,7.0
20/04/2018,3.0,16.0,25.0,39.0,44.0,7.0,11.0
17/04/2018,15.0,27.0,33.0,39.0,50.0,4.0,6.0
13/04/2018,5.0,25.0,34.0,48.0,50.0,6.0,7.0
10/04/2018,14.0,27.0,39.0,46.0,48.0,11.0,12.0
6/04/2018,1.0,29.0,33.0,45.0,47.0,4.0,8.0
3/04/2018,3.0,8.0,16.0,40.0,43.0,5.0,8.0
30/03/2018,12.0,17.0,28.0,35.0,47.0,7.0,11.0
27/03/2018,17.0,20.0,23.0,40.0,46.0,9.0,10.0
23/03/2018,5.0,7.0,11.0,46.0,50.0,8.0,11.0
20/03/2018,26.0,29.0,37.0,39.0,44.0,9.0,11.0
16/03/2018,4.0,17.0,24.0,27.0,31.0,10.0,11.0
13/03/2018,9.0,11.0,13.0,33.0,49.0,6.0,12.0
9/03/2018,9.0,14.0,21.0,32.0,44.0,1.0,12.0
6/03/2018,15.0,20.0,26.0,31.0,44.0,2.0,9.0
2/03/2018,2.0,7.0,34.0,45.0,48.0,1.0,12.0
27/02/2018,3.0,31.0,41.0,48.0,50.0,8.0,11.0
